"omega1","lag1_inv","violation","viostatus","intDAV","DAV","invprob"
34,0,0,1,5,2,0.0947597694394061
34,0,0,2,5,2,0.414801878752872
34,0,1,1,5,2,0.112433778317137
34,0,1,2,5,2,0.476104109754709
34,1,0,1,5,2,0.0882536397124139
34,1,0,2,5,2,0.262431060990807
34,1,1,1,5,2,0.124363795742717
34,1,1,2,5,2,0.27572134791157
35,0,0,1,5,2,0.0939555916321038
35,0,0,2,5,2,0.374680626274235
35,0,1,1,5,2,0.107484591383563
35,0,1,2,5,2,0.420702156997447
35,1,0,1,5,2,0.0849054321834477
35,1,0,2,5,2,0.249770612582102
35,1,1,1,5,2,0.115350523374966
35,1,1,2,5,2,0.258988479612618
36,0,0,1,5,2,0.0948280802936275
36,0,0,2,5,2,0.41646135873399
36,0,1,1,5,2,0.109296648654297
36,0,1,2,5,2,0.481958412604866
36,1,0,1,5,2,0.0868935501927526
36,1,0,2,5,2,0.262691127456312
36,1,1,1,5,2,0.12077425036617
36,1,1,2,5,2,0.275385155518401
37,0,0,1,5,2,0.144683148902054
37,0,0,2,5,2,0.478569032324877
37,0,1,1,5,2,0.187355383302521
37,0,1,2,5,2,0.651559476061687
37,1,0,1,5,2,0.175391593325998
37,1,0,2,5,2,0.333449984691612
37,1,1,1,5,2,0.242782301576173
37,1,1,2,5,2,0.366706236725639
38,0,0,1,5,2,0.120074005474358
38,0,0,2,5,2,0.38948227567431
38,0,1,1,5,2,0.153658032658422
38,0,1,2,5,2,0.489243922693277
38,1,0,1,5,2,0.13210461803833
38,1,0,2,5,2,0.30588514842655
38,1,1,1,5,2,0.175326951949219
38,1,1,2,5,2,0.340173568917327
39,0,0,1,5,2,0.143427617903577
39,0,0,2,5,2,0.450060078368639
39,0,1,1,5,2,0.186947515289223
39,0,1,2,5,2,0.609693336087369
39,1,0,1,5,2,0.169195658373094
39,1,0,2,5,2,0.329111602247836
39,1,1,1,5,2,0.229909329511542
39,1,1,2,5,2,0.367510570323113
40,0,0,1,5,2,0.135716368285666
40,0,0,2,5,2,0.405876326492977
40,0,1,1,5,2,0.168864260523107
40,0,1,2,5,2,0.548323375069749
40,1,0,1,5,2,0.15969892288677
40,1,0,2,5,2,0.295695706115754
40,1,1,1,5,2,0.210890448327913
40,1,1,2,5,2,0.325332122528152
41,0,0,1,5,2,0.145260452253635
41,0,0,2,5,2,0.485211312561624
41,0,1,1,5,2,0.179083885356986
41,0,1,2,5,2,0.660755794482414
41,1,0,1,5,2,0.175689604744878
41,1,0,2,5,2,0.338426996272621
41,1,1,1,5,2,0.229542798109758
41,1,1,2,5,2,0.370177264472895
42,0,0,1,5,2,0.137649160043352
42,0,0,2,5,2,0.458776932697702
42,0,1,1,5,2,0.215101265669295
42,0,1,2,5,2,0.619531196495779
42,1,0,1,5,2,0.139953284821861
42,1,0,2,5,2,0.373601783035201
42,1,1,1,5,2,0.205558778844112
42,1,1,2,5,2,0.46295206221836
43,0,0,1,5,2,0.112809101945799
43,0,0,2,5,2,0.396325876922387
43,0,1,1,5,2,0.145987096959325
43,0,1,2,5,2,0.497638967520142
43,1,0,1,5,2,0.115362462700839
43,1,0,2,5,2,0.336172843162184
43,1,1,1,5,2,0.14408822432818
43,1,1,2,5,2,0.394676284389882
44,0,0,1,5,2,0.138429589126287
44,0,0,2,5,2,0.409601223865817
44,0,1,1,5,2,0.219169842275522
44,0,1,2,5,2,0.547151573989214
44,1,0,1,5,2,0.141398236574592
44,1,0,2,5,2,0.337450020149984
44,1,1,1,5,2,0.211698019994236
44,1,1,2,5,2,0.408194840361096
45,0,0,1,5,2,0.146556870559723
45,0,0,2,5,2,0.47305111930205
45,0,1,1,5,2,0.240582764904338
45,0,1,2,5,2,0.642766017520592
45,1,0,1,5,2,0.148568047497582
45,1,0,2,5,2,0.379561974023604
45,1,1,1,5,2,0.226422413181458
45,1,1,2,5,2,0.466990447812137
